filename,caption
Y3hzy-FL24no.wav,"A small motor is buzzing and water is running, splashing and gurgling"
Y1slvoNgzBLE.wav,A subway train signal plays followed by a bell chiming followed by a horn honking as a crowd of people talk in the background
Y0UJtGcoPYa0.wav,A vehicle motor running idle followed by a car horn honking then a group of men groaning
Y-nQHwrRLfc0.wav,Chainsaw being run
Y3MoF8myFs8Y.wav,Ocean waves crashing as a man talks in the distance and wind heavily blows into a microphone
Y1e98HeU9Vrg.wav,Waves and wind rake a shore
Y2bq2lc3DLwM.wav,A man speaks and a vehicle passes
Y0yxEvdnimGg.wav,A dog barking as a man is talking while birds chirp and wind blows into a microphone
Y-mhFGevxLUg.wav,A man speaks with low speech in the background
Y2ABngPM3raQ.wav,A man talking while bongos play followed by frogs croaking
Y3iLGu2Omgrw.wav,An adult male is speaking in a quiet environment
Y0_ogYGDGDco.wav,Water splashing and trickling as wind blows into a microphone while a man speaks over a radio
Y1ed87LLY97k.wav,Thuds on floor
Y0_K6OKtoBBU.wav,Some rustling then silence then traffic passing in the distance with a cat meowing
Y-mb4Fw4Z0xg.wav,Race cars are racing followed by people talking
Y2t82STv2GR8.wav,A large bell rings out multiple times
Y2KEfkDO6hlA.wav,Humming of an accelerating engine with wind passing and rustling
Y_GI7meqlYZk.wav,A cat meowing and young female speaking
Y1Og2TJ3bXW0.wav,An aircraft engine running then slowing down after a plastic click
Y2msevPMQB4M.wav,A drilling sound with humming in the background
Y2KR0C5ysO8o.wav,"A mid-size motor vehicle engine accelerates and is accompanied by hissing and spinning tires, then it decelerates and an adult male begins to speak"
Y3IScngdQA4I.wav,Some groaning followed by a woman speaking
Y_iUX8CibElk.wav,Sustained industrial engine noise
Y3fomsZXG3aM.wav,An idle vehicle engine running followed by a gear cranking then revving
Y_z-bidQYVao.wav,A man making a horn sound and then speaking
Y3IguMJkqpl4.wav,"A man speaking then a baby crying, duck quacking in background and finally a woman speaking"
Y3n05BjV7r7M.wav,"A motor is running, and metal clanging is present"
Y2ceUOv8A3FE.wav,A rolling train blows its horn multiple times
Y_ezm-TpKj1w.wav,A vehicle engine revving as a crowd of people talk
Y0Dt-pH0pW-Y.wav,An engine and speech on a loudspeaker
Y_w2pA1VeB40.wav,A group of people laughing followed by farting
Y0ury8KHQdL4.wav,A man is speaking while typing
Y2ItTq2JShdU.wav,Train engine as it travels
Y0AsXkZkqelg.wav,An idle vehicle engine running normally before stuttering
Y-FW109cbv0g.wav,Speech followed by quietness and a man speaks and laughs
Y-DmjkgWa-rw.wav,A bell is ringing
Y2ymiXjImwGs.wav,A crowd murmurs as a siren blares and then stops at a distance
Y-JP1GqPEKtw.wav,A male voice and a machine buzzing
Y1nUOGZgSzZo.wav,Wind blowing and water splashing
Y2ErfX6ZT5pM.wav,Some child speaking in the distant and a toilet flushing
Y2sZhC_mKeic.wav,A cat meowing once with a thud
Y_AcJVyToQUQ.wav,A man and woman laughing followed by a man shouting then a woman laughing as a child laughs
Y1QNLMF-Kl_s.wav,A woman speaking
Y2EsxcKe1A4w.wav,A dog barks with distant birds chirping then people speak
Y-aYumc8KoXg.wav,The sound of horn from a car approaching from a distance
Y_BSmz3SEW1w.wav,Rustling pigeons coo
Y2RjqBRzmxaM.wav,Instrumental music playing as a woman speaks followed by rain pouring then rain falling on a surface
Y1N_DtRpdAp8.wav,A sound of vibrating motor
Y-AheI8Epim4.wav,Muffled sounds followed by metal being hit
Y-SkjbQVgJ0M.wav,A man speaking as vehicles drive by and leaves rustling
Y-oy0BkpMGAk.wav,An engine revving and then tires squealing
Y1DKLyH3FixM.wav,Chirping birds near and far
Y3ghVB-KaU_E.wav,A man talking followed by a brush scrapping then liquid spraying in the background
Y0jGH7A_hpBM.wav,A man speaking followed by another man speaking with some rustling
Y2j8pxiFvElM.wav,A cat meowing twice
